C,Production,NOSDAILY,AEMO,PUBLIC,2018/03/05,15:00:54
I,NOS,TXOUTAGES,1,Region,Station Name,Equipment Name,Equipment Type,KV,Start Time,End Time,Status,Constraint Set ID,2nd/IS Flag,Issues,Recall Time (D),Recall Time (N),Date/Time of Original Inclusion of Outage,Date/Time of Last Change,TNSP Submitted the Outage,Resubmit Reason
D, NOS, TXOUTAGES, 1,NSW1,Dapto 330kV,Dapto Marulan 8 330kV LINE,line,330,2019/01/07 07:00:00,2019/03/01 18:00:00,SUBMIT,,0,,120,120,2018/02/14 00:00:00,2018/02/14 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Dapto 330kV,Dapto Marulan 8 330kV LINE,line,330,2019/03/04 07:00:00,2019/03/30 18:00:00,SUBMIT,,0,,240,240,2018/02/14 00:00:00,2018/02/14 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Dapto 330kV,Dapto Marulan 8 330kV LINE,line,330,2019/04/22 08:00:00,2019/06/29 19:00:00,SUBMIT,,0,,1440,1440,2018/02/14 00:00:00,2018/02/14 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Darlington Point 330kV,Drlngtn Pt 3 330/220/33kV XFMR,xfmr3,330/220/33,2018/03/07 07:00:00,2018/03/07 15:00:00,STLTP,N-DP_TIETX,0,,60,,2018/02/14 00:00:00,2018/02/14 00:00:00,Transgrid,Information Update
D, NOS, TXOUTAGES, 1,NSW1,Darlington Point 330kV,Drlngtn Pt 3 330/220/33kV XFMR,xfmr3,330/220/33,2018/03/08 07:00:00,2018/03/08 15:00:00,STLTP,N-DP_TIETX,0,,60,,2018/02/14 00:00:00,2018/02/14 00:00:00,Transgrid,Information Update
D, NOS, TXOUTAGES, 1,NSW1,Darlington Point 330kV,Drlngtn Pt A 132kV BUS,bus,132,2018/04/08 02:00:00,2018/04/08 07:00:00,SUBMIT,,0,,120,120,2017/06/06 00:00:00,2017/06/06 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Darlington Point 330kV,Drlngtn Pt A 132kV BUS,bus,132,2018/04/15 02:00:00,2018/04/15 07:00:00,SUBMIT,,0,,120,120,2017/06/06 00:00:00,2017/06/06 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Deniliquin 132kV,Deniliquin-Finley 9R3 132kV LINE,line,132,2018/05/21 08:00:00,2018/05/25 17:00:00,SUBMIT,,0,,240,240,2018/02/23 00:00:00,2018/02/23 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Directlink-NSW ,Directlk-N Directlk-Q DC1 80kV LINE,line,80,2018/02/13 09:15:00,2018/03/16 17:00:00,PTP,N-MBTE_1,0,,,,2018/02/13 00:00:00,2018/02/23 00:00:00,APT,Information Update
D, NOS, TXOUTAGES, 1,NSW1,Directlink-NSW ,Directlk-N Directlk-Q DC1 80kV LINE,line,80,2018/02/13 09:15:00,2018/03/16 17:00:00,PTP,N-X_MBTE_2,0,,,,2018/02/13 00:00:00,2018/02/23 00:00:00,APT,Information Update
